epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1026,1.63326,4.33106,1.77024,0.36939,0.48627,0.30848,0.20426,1.26492,2.85192,1.47235,0.000105163,0.000105163,0.000105163
2,36.3148,1.22112,2.5365,1.35811,0.63105,0.66207,0.71871,0.51317,1.13173,1.51751,1.36436,0.000207562,0.000207562,0.000207562
3,52.1293,1.19122,1.93866,1.29998,0.61884,0.78138,0.78473,0.53416,1.21609,1.49299,1.39661,0.000304632,0.000304632,0.000304632
4,67.8225,1.13881,1.59773,1.29545,0.7108,0.9037,0.8985,0.64315,1.09218,0.96703,1.27392,0.000299017,0.000299017,0.000299017
5,83.3367,1.13102,1.40709,1.28515,0.7633,0.9091,0.95427,0.6783,1.10826,0.88128,1.29969,0.000291023,0.000291023,0.000291023
6,98.876,1.09683,1.20561,1.26456,0.80602,0.91968,0.9621,0.70159,1.04616,0.78593,1.26313,0.000283029,0.000283029,0.000283029
7,114.549,1.09493,1.18421,1.26841,0.9353,0.92571,0.97211,0.70665,1.08003,0.63716,1.28227,0.000275035,0.000275035,0.000275035
8,130.326,1.08285,1.12149,1.23676,0.90601,0.95872,0.971,0.69786,1.07263,0.61456,1.27406,0.00026704,0.00026704,0.00026704
9,145.606,1.05863,1.01223,1.23071,0.90712,0.94566,0.97533,0.70441,1.02856,0.59262,1.25759,0.000259046,0.000259046,0.000259046
10,162.018,1.06858,0.99134,1.22356,0.91415,0.89285,0.96648,0.69794,1.0911,0.68316,1.2826,0.000251052,0.000251052,0.000251052
11,178.551,1.05471,0.92718,1.21375,0.90888,0.97667,0.97597,0.70789,1.07601,0.56368,1.28241,0.000243057,0.000243057,0.000243057
12,194.897,1.04621,0.91595,1.23786,0.90637,0.96486,0.98218,0.70535,1.06326,0.53991,1.27746,0.000235063,0.000235063,0.000235063
13,210.476,1.03748,0.85211,1.21888,0.89798,0.91876,0.97744,0.69026,1.102,0.62052,1.30134,0.000227069,0.000227069,0.000227069
14,226.278,0.97672,0.78426,1.17435,0.92371,0.96515,0.97615,0.71178,1.05886,0.50343,1.24147,0.000219075,0.000219075,0.000219075
15,242.215,1.03395,0.83903,1.21589,0.93031,0.97531,0.97817,0.70954,1.12771,0.53485,1.29862,0.00021108,0.00021108,0.00021108
16,257.756,0.99604,0.77228,1.19442,0.96221,0.95426,0.98346,0.72407,0.99152,0.44042,1.22571,0.000203086,0.000203086,0.000203086
17,273.497,0.991,0.77088,1.17894,0.92004,0.95653,0.97693,0.71173,1.05786,0.49127,1.25501,0.000195092,0.000195092,0.000195092
18,289.537,0.9901,0.75917,1.18578,0.93813,0.95114,0.97894,0.72043,1.02111,0.50726,1.22198,0.000187098,0.000187098,0.000187098
19,306.029,0.98367,0.72428,1.18781,0.93489,0.96693,0.98126,0.73154,0.97973,0.4506,1.20267,0.000179103,0.000179103,0.000179103
20,322.283,0.93752,0.69178,1.1598,0.93764,0.96876,0.97624,0.73707,0.99263,0.48706,1.21078,0.000171109,0.000171109,0.000171109
21,338.468,0.95014,0.69257,1.16206,0.96542,0.96812,0.97466,0.72512,1.0444,0.46709,1.23126,0.000163115,0.000163115,0.000163115
22,354.04,0.95764,0.67599,1.17057,0.93825,0.96556,0.98004,0.74296,0.98812,0.43473,1.20233,0.000155121,0.000155121,0.000155121
23,369.856,0.95348,0.66773,1.17005,0.95593,0.95956,0.97817,0.73721,1.00732,0.46578,1.23365,0.000147126,0.000147126,0.000147126
24,385.344,0.93826,0.66412,1.15454,0.95427,0.97825,0.98538,0.73143,1.02425,0.4235,1.23474,0.000139132,0.000139132,0.000139132
25,400.741,0.90951,0.62199,1.13569,0.95136,0.96911,0.97873,0.73804,1.00112,0.43546,1.2111,0.000131138,0.000131138,0.000131138
26,416.246,0.89026,0.59872,1.12921,0.97855,0.97762,0.98859,0.74134,0.99393,0.40494,1.21612,0.000123144,0.000123144,0.000123144
27,431.939,0.92122,0.60896,1.14148,0.96478,0.96313,0.98538,0.73747,1.01088,0.40671,1.22488,0.000115149,0.000115149,0.000115149
28,447.992,0.90327,0.59588,1.1304,0.97751,0.96634,0.98538,0.73466,1.02725,0.40823,1.2254,0.000107155,0.000107155,0.000107155
29,464.771,0.8824,0.56033,1.12091,0.97562,0.97013,0.98058,0.73945,1.03447,0.42335,1.23698,9.9161e-05,9.9161e-05,9.9161e-05
30,480.906,0.89472,0.57001,1.14508,0.97366,0.97515,0.98859,0.74778,1.02328,0.39928,1.23994,9.11667e-05,9.11667e-05,9.11667e-05
31,498.251,0.85883,0.41292,1.18135,0.9691,0.96836,0.97642,0.74121,1.00366,0.42429,1.22971,8.31725e-05,8.31725e-05,8.31725e-05
32,513.479,0.84353,0.38119,1.16102,0.97752,0.98511,0.995,0.75409,1.02705,0.40447,1.23628,7.51782e-05,7.51782e-05,7.51782e-05
33,529.086,0.84816,0.39027,1.15153,0.96956,0.97868,0.98538,0.73537,1.02898,0.39867,1.23545,6.7184e-05,6.7184e-05,6.7184e-05
34,544.357,0.83307,0.37373,1.16374,0.9721,0.97751,0.98346,0.73268,1.02156,0.39294,1.22708,5.91898e-05,5.91898e-05,5.91898e-05
35,559.803,0.82511,0.3716,1.14699,0.97863,0.97875,0.98538,0.749,0.96662,0.37745,1.19515,5.11955e-05,5.11955e-05,5.11955e-05
36,575.117,0.82162,0.36196,1.13461,0.96966,0.98077,0.98538,0.75747,0.97902,0.38951,1.19958,4.32012e-05,4.32012e-05,4.32012e-05
37,591.168,0.79834,0.35062,1.12423,0.96672,0.97571,0.98859,0.75929,0.97057,0.38049,1.20059,3.5207e-05,3.5207e-05,3.5207e-05
38,607.744,0.78368,0.3486,1.10266,0.97328,0.98077,0.98859,0.75244,0.98476,0.38005,1.20543,2.72127e-05,2.72127e-05,2.72127e-05
39,623.227,0.776,0.33921,1.12105,0.97029,0.98077,0.98859,0.7501,0.98256,0.37633,1.20656,1.92185e-05,1.92185e-05,1.92185e-05
40,638.72,0.77408,0.33543,1.10511,0.96982,0.97648,0.98859,0.75213,0.9774,0.38378,1.20674,1.12243e-05,1.12243e-05,1.12243e-05
